address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions
0x82fae5e6f52fe2169e7f774e58585276c4d7f8da,0.0000,1.157920892373162e+59,0.000000,0.0000,75,0.186667,0.001001,1,14
0x0084ee6c8893c01e252198b56ec127443dc27464,1.1498,1.0061,3.879543,0.0000,1409,1.738112,4.460687,19,2449
0x20c0ffe245c1f21141dfef273de035e855e46b96,1.3498,1.1203,0.000635,0.0000,1140,0.281579,0.000857,12,321
0xc5293c9328e59bbe80c4d92ebbc3253e48d21397,1.3267,1.1011,0.000322,0.0000,1312,0.486280,0.000427,18,638
0x26d56f515e09885d9f3cdcff1699bce1d0a06031,0.0000,1.157920892373162e+59,0.000000,0.0000,11,0.272727,0.138357,1,3
0xbe9c0606aae22ae06c2400e132a699e082b2b169,0.0000,1.157920892373162e+59,0.000000,0.0000,1690,0.074556,0.021703,5,126
0x9237305e51715b47f24fbfc7c28810781d970809,1.3454,1.1167,0.000962,0.0000,1605,0.112773,0.001294,3,181
0x7876f6af2abc7a3dd0e31683ee4dfe694e8729c2,0.0000,1.157920892373162e+59,0.000000,0.0000,1565,0.398083,27.903711,8,623
0xf8f1e33fd68be886c9638a636a2ef716801383a4,0.0000,1.157920892373162e+59,0.000000,0.0000,1897,0.597786,0.001097,14,1134
0x669a6db19c3f688e81a45c080a4d58d038e4bbf3,1.5334,1.3187,0.018172,0.0000,1275,0.030588,0.027865,4,39
0xc5bf64ef4ba1d1c0e63f4d84b849a0a810f708c4,2.6224,2.1504,136.373328,0.0000,1405,0.084698,357.631072,4,119
0xa49203ef11a95e47ac522db53b79c453df0476a5,4.7534,4.1088,0.431647,0.0000,2156,0.120594,2.051787,8,260
0xaf3d382ebbe7970a0aad8a9c8f08469b54f660c0,1.3458,1.1170,0.000320,0.0000,1079,0.060241,0.000430,3,65
0x55bdb3fdfb653c5d51365d5da9cc14e100ffcaa4,1.3458,1.1170,0.000320,0.0000,1100,0.075455,0.000430,3,83
0x2cce68b84b20b512fd19a8342a2146bafcf0bf7f,1.3458,1.1170,0.000352,0.0000,1217,0.228431,0.000473,8,278
0x5bc52e705e14c0146e30ea69d39e33fd7e042142,1.3599,1.1287,0.002558,0.0000,1412,0.298867,0.003479,6,422
0x1fe53d002f4a2dcd46cff405a1b5e34d01e4eb90,5.2208,4.4899,0.534857,0.0000,1487,0.021520,2.792399,2,32
0x994f21ad9f08e71557001c5edcc8bb44bcd00f59,1.5664,1.0182,0.017776,0.0000,1423,0.028110,0.027845,6,40
0x131a594616312a1de33777113acebe73eae0368b,27.4639,18.6837,0.209597,0.0000,1787,0.123671,5.756351,3,221
0xc135725230a91b002025aeeb97dc8c29dd026cad,3.1117,2.5827,9.920080,0.0000,2811,0.134827,30.868379,11,379
0xa323a54987ce8f51a648af2826beb49c368b8bc6,1.3226,1.0977,0.000319,0.0000,1626,0.271833,0.000422,15,442
0x8666e8b85aada05af6350b57595f1cde004b2793,2.2046,1.4327,0.005200,0.0000,1552,0.122423,0.011464,8,190
0x2e5ca30ee0ae2dbd7d61aa29ad141f6e6bdf5378,1.3118,1.0888,0.000958,0.0000,1075,0.054884,0.001257,2,59
0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,0.0000,1.157920892373162e+59,0.000000,0.0000,1395,0.957706,0.524080,15,1336
0x8991fb72af79bc853ab58dab690579deae5fd22d,1.6393,1.4098,0.023214,0.0000,1787,0.184667,0.038057,11,330
0x9a97dbc9baa91707b5bde45c810536c17b8ceb15,1.3223,1.0975,0.000320,0.0000,1802,1.287458,0.000423,39,2320
0xed74c5126b667e8828e252ffaebc32206f5d21f2,1.1718,1.0253,0.003110,0.0000,293,0.109215,0.003644,1,32
0x249a8621eacf869efa6a5fe1c4c697dfa818e237,1.3407,1.1128,0.001609,0.0000,1617,0.283859,0.002157,13,459
0x06a84a5364af1f043b77e10bce2568e94af76d5a,0.0000,1.157920892373162e+59,0.000000,0.0000,1624,0.663177,0.002081,19,1077
0xd6901c3ffb6bd0cac3169892d51d7e0001cd13b8,1.3548,1.1245,0.002319,0.0000,1368,0.188596,0.003142,15,258
0x65ef8fd6168a4bc2cfebf83b0c83a8a9b7aad1f9,1.3557,1.1253,0.001926,0.0000,2939,0.400817,0.002611,22,1178
0x9e9e7f7c3a3849afbf4d6302e7698bb139dc1371,1.3482,1.1190,0.000321,0.0000,1365,0.066667,0.000433,4,91
0x2b60f64201d99282a19beb47c455627960395598,1.3482,1.1190,0.000645,0.0000,1428,0.095238,0.000869,6,136
0xd117691943ff00ecdcc8b446e6653444b4b6672b,1.3482,1.1190,0.000224,0.0000,1358,0.047128,0.000302,4,64
0x6d2742b2ccb325aa854cb2648a0841655a7c9c22,1.3482,1.1190,0.000249,0.0000,1358,0.049337,0.000336,4,67
0x026b6e0ffdf858c0fb1b4acb73591873ac9da472,1.3482,1.1190,0.000192,0.0000,1317,0.038724,0.000259,3,51
0x2ef15a729d9a64ca966aee408675c11ff0e2d757,1.3482,1.1190,0.000224,0.0000,1317,0.041002,0.000302,4,54
0x3d1c2f7e32a16e638daa809cbfa697d4fd76f2c2,1.3479,1.1188,0.000224,0.0000,1317,0.040243,0.000302,3,53
0x6c19f5d1e8cae3dc31e5b6838aae33fb9d2a242e,1.3479,1.1188,0.000169,0.0000,2424,0.324257,0.000228,83,786
0x0b148b0d0838a9abd30f9cb51ae2dd6a7c3cdfd0,1.3479,1.1188,0.000240,0.0000,1317,0.054670,0.000324,5,72
0x3fcba75f5d6022edb35c432adf8206cb54363a7d,1.3479,1.1188,0.000645,0.0000,1428,0.112045,0.000869,5,160
0x0aae0df463c77daae3cee78a38e16a06b552c445,1.3479,1.1188,0.000256,0.0000,1358,0.057437,0.000346,3,78
0x23161001833101caf8a2d23f3a817b6f44f55ff6,1.3532,1.1232,0.000224,0.0000,1317,0.042521,0.000303,2,56
