address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions
0x9e05295a9a88fefa61de90422a708ff63878cd6b,4.3608,3.7167,8.229761,0.0000,1673,0.222953,35.887985,83,373
0x4813f5074cf9dfe179ee052431cdf421f01377d2,0.0000,0.0000,0.000000,0.0000,1430,0.045455,4.353905,15,65
0xfba11c84041c2d70a8a3a724c5d5212e50ba858a,1.4114,1.1715,0.000320,0.0000,1507,0.715328,0.000451,337,1078
0x458902232d0ed0fd53580369f03af658374aa831,0.0000,0.0000,0.000000,0.0000,80,0.150000,0.110121,6,12
0xcf0fb4d249b8c2f17dd805ac2b6f28ffc3d0049c,0.0000,0.0000,0.000000,0.0000,2532,0.947077,0.001696,1076,2398
0x83ca6e16db349f9e815509a3d3e99d9e8c758b3b,1.3980,1.1604,0.000959,0.0000,1561,0.495195,0.001341,246,773
0x864d0e8f275c4706cc01e4b1f358dc7e3880dc12,0.0000,0.0000,0.000000,0.0000,1515,0.295050,0.002939,160,447
0x1875190bdf2adfa01377678bdfe512f4105dcc42,2.9289,1.9038,7.125164,0.0000,1623,0.175601,20.868782,85,285
0x94fa03db9599517496d736ac01fa98dbefdfb29d,1.3675,1.1350,0.000382,0.0000,1555,0.178778,0.000522,80,278
0xdd6e1a285790d4088fd020c65c764babf44b31e8,3.2175,2.8153,0.001164,0.0000,2667,1.278965,0.003744,182,3411
0x3d2f5127c0fbd4ba0d2823ef26245280cd4da24d,1.4160,1.1753,0.000322,0.0000,1595,0.441379,0.000457,288,704
0x9970a7766579c0b7068410282807d8bab302957b,0.0000,0.0000,0.000000,0.0000,911,0.113063,2.580299,16,103
0xb493648f0ed96afe4adce0b5089670e7ba968e8c,1.4244,1.1822,0.003194,0.0000,1300,0.117692,0.004550,94,153
0x2a4576ec0b0c4a8b5865321df1744fe160c76eae,1.1546,1.0098,2.922868,0.0000,1648,0.098908,3.374606,28,163
0x02841908d2d747607b2af1e7f4ab260d024d7d80,1.4244,1.1822,0.003514,0.0000,1300,0.133846,0.005005,102,174
0xf2fdaec3bdf60bb1363bce748cd1ff276fac5318,1.4319,1.1885,0.002396,0.0000,1143,0.081365,0.003430,51,93
0xc26ec7b6407cce7ea6a6715c2bb4a5b1219c46d6,1.8294,1.2749,0.002365,0.0000,927,0.193096,0.004326,99,179
