repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,cluster,anomaly,score_raw,rank,credit_score
1.359,1.128,0.000237,0.0,1458,0.135117,0.000322,127,197,0,1,-0.16079154515694608,1168.0,479.84429065743944
9.1754,6.2934,0.00154,0.0,2723,0.026809,0.014131,30,73,0,1,0.14166523656889835,229.0,777.6816608996539
0.0,1.157920892373162e+59,0.0,0.0,1415,1.026855,0.003354,473,1453,2,1,0.3055690704497852,128.0,390.4605263157895
4.3444,3.7027,8.260718,0.0,1673,0.222953,35.88799,83,373,0,1,-0.052398604677116996,754.0,611.159169550173
0.0,1.157920892373162e+59,0.0,0.0,1430,0.045455,4.355226,15,65,0,1,-0.00577015616892565,648.0,644.7808535178777
1.4062,1.1671,0.000321,0.0,1507,0.715328,0.000451,337,1078,0,1,0.02790086107767915,528.0,682.8431372549019
0.0,1.157920892373162e+59,0.0,0.0,80,0.15,0.110129,6,12,0,1,-0.3705831562041118,1686.0,315.54209919261825
0.0,1.157920892373162e+59,0.0,0.0,2532,0.947077,0.001696,1076,2398,2,-1,0.8037651741064108,26.0,759.5394736842105
1.3929,1.1561,0.000963,0.0,1561,0.495195,0.001341,246,773,0,1,-0.025231731026712105,703.0,627.3356401384083
0.0,1.157920892373162e+59,0.0,0.0,1515,0.29505,0.002951,160,447,0,1,0.10471324983401649,291.0,758.0161476355248
2.8955,1.8821,7.125206,0.0,1624,0.175493,20.63132,85,285,0,1,-0.08765947145713024,859.0,577.8546712802768
1.3625,1.1308,0.000383,0.0,1555,0.178778,0.000522,80,278,0,1,-0.13645695961369478,1031.0,523.2987312572088
3.2295,2.8258,0.001164,0.0,2667,1.278965,0.003758,182,3411,2,1,0.495545720933127,73.0,589.4736842105262
1.4108,1.171,0.000324,0.0,1596,0.441103,0.000457,288,704,0,1,-0.015364738939031373,678.0,635.2652825836217
0.0,1.157920892373162e+59,0.0,0.0,911,0.113063,2.589956,16,103,0,1,-0.13842841172640297,1041.0,520.1268742791234
1.4191,1.1779,0.003206,0.0,1300,0.117692,0.00455,94,153,0,1,-0.2172832114477097,1392.0,408.79469434832754
1.1544,1.0097,2.933863,0.0,1648,0.098908,3.386979,28,163,0,1,-0.13189123238827893,1015.0,528.3737024221454
1.4191,1.1779,0.003527,0.0,1300,0.133846,0.005005,102,174,0,1,-0.21201668669354107,1379.0,412.9181084198385
1.4267,1.1841,0.002405,0.0,1143,0.081365,0.003431,51,93,0,1,-0.2794255897542179,1548.0,359.3137254901961
1.8176,1.267,0.002374,0.0,927,0.193096,0.004315,99,179,0,1,-0.3072043213715082,1608.0,340.28258362168395
0.0,1.157920892373162e+59,0.0,0.0,1085,0.406452,0.001295,175,441,0,1,0.005020641864209464,618.0,654.2964244521338
1.3871,1.1513,0.003224,0.0,2239,0.089772,0.004472,113,201,0,1,0.0446086163605727,459.0,704.7289504036909
0.0,1.157920892373162e+59,0.0,0.0,1776,0.149212,0.01311,72,265,0,1,0.1252986631398858,260.0,767.8489042675894
1.8114,1.5035,0.000481,0.0,1559,0.432328,0.000871,267,674,0,1,-0.03361322446518689,714.0,623.8465974625144
2.2312,1.8657,8.137106,0.0,1566,0.118135,18.155584,17,185,0,1,-0.13292369845624616,1019.0,527.1049596309113
1.3776,1.1434,0.000692,0.0,1322,1.1059,0.000953,458,1462,2,1,0.0795939255007245,151.0,307.2368421052632
1.376,1.1421,0.001602,0.0,1075,0.123721,0.002204,55,133,0,1,-0.28945621955638323,1575.0,350.7497116493656
0.0,1.157920892373162e+59,0.0,0.0,1801,0.666297,0.004236,422,1200,0,1,0.33767946449279695,59.0,831.603229527105
1.3682,1.1356,0.003206,0.0,1300,0.245385,0.004387,157,319,0,1,-0.17572235982864345,1242.0,456.37254901960785
4.141,3.5612,1.38695,0.0,502,0.193227,5.743337,14,97,0,1,-0.44352031080252946,1700.0,311.1014994232987
0.0,1.157920892373162e+59,0.0,0.0,1868,0.004283,0.09514,5,8,0,1,0.1013616639955462,302.0,754.5271049596308
2.9707,2.4657,0.000309,0.0,1538,0.141743,0.000918,95,218,0,1,-0.14514845587578096,1074.0,509.6597462514418
1.3601,1.1289,0.000224,0.0,1391,0.163911,0.000305,95,228,0,1,-0.18212905723841072,1265.0,449.07727797001155
1.2269,1.006,0.002245,0.0,1450,0.381379,0.002755,127,553,0,1,-0.11255615097308577,937.0,553.1141868512111
1.3351,1.0715,0.001613,0.0,1621,0.558914,0.002153,280,906,0,1,0.015100665227697922,579.0,666.6666666666667
0.0,1.157920892373162e+59,0.0,0.0,1221,0.015561,0.150385,6,19,0,1,-0.07436498196520303,809.0,593.7139561707036
4.3723,3.73,6.518003,0.0,1337,0.026926,28.498946,13,36,0,1,-0.2141033570200185,1382.0,411.9665513264129
0.0,1.157920892373162e+59,0.0,0.0,1228,0.519544,0.001328,261,638,0,1,0.09141000713242789,321.0,748.5005767012688
1.353,1.123,0.002249,0.0,1325,0.396981,0.003042,221,526,0,1,-0.12181965540231704,978.0,540.1095732410611
1.3673,1.1349,0.002243,0.0,1607,1.353454,0.003067,334,2175,2,1,0.19373206303187013,139.0,350.6578947368421
1.3171,1.1327,0.001856,0.0,1506,0.028552,0.002444,14,43,0,1,-0.19864363439926214,1340.0,425.2883506343714
0.0,1.157920892373162e+59,0.0,0.0,778,0.242931,1.76255,15,189,0,1,-0.15408325717240384,1130.0,491.89734717416377
1.413,1.1728,0.000971,0.0,1810,0.155249,0.001372,137,281,0,1,-0.05455583728224142,757.0,610.2076124567475
1.4129,1.1727,0.001612,0.0,1344,0.233631,0.002278,125,314,0,1,-0.17372961474551202,1232.0,459.54440599769316
1.425,1.1828,0.00129,0.0,1336,0.08982,0.001838,77,120,0,1,-0.21713792797301285,1391.0,409.1118800461361
1.4301,1.187,0.000317,0.0,1493,0.48493,0.000454,241,724,0,1,-0.04898962754154266,742.0,614.9653979238755
1.545,1.2824,0.002355,0.0,1440,0.105556,0.003638,68,152,0,1,-0.18717233038998715,1293.0,440.19607843137254
3.0709,2.6293,0.333747,0.0,2762,0.080739,1.02489,80,223,0,1,0.18121434875032322,162.0,798.9331026528258
1.9419,1.4399,0.271484,0.0,1573,0.114431,0.527185,24,180,0,1,-0.15847793405092053,1155.0,483.96770472895037
1.5181,1.26,0.006444,0.0,2552,0.138715,0.009782,139,354,0,1,0.1514763713792885,214.0,782.439446366782
0.0,1.157920892373162e+59,0.0,0.0,1338,0.033632,0.002118,16,45,0,1,-0.03596798918298698,724.0,620.6747404844291
2.5414,2.0839,0.301003,0.0,155,0.432258,0.764959,14,67,0,1,-0.5135956147378153,1717.0,305.70934256055364
1.4188,1.2325,3.462492,0.0,2791,0.041562,4.912436,34,116,0,1,0.1763517701747475,172.0,795.7612456747405
7.8388,6.4278,2.298693,0.0,1321,0.056775,18.018905,24,75,0,1,-0.2256675636110829,1419.0,400.23068050749714
1.2939,0.9963,0.00104,0.0,1275,0.163922,0.001346,58,209,0,1,-0.22454255998225325,1412.0,402.45098039215685
3.0108,2.4689,1.467212,0.0,2896,0.421616,4.417518,234,1221,0,1,0.35669548266876516,48.0,835.0922722029989
4.9337,4.0945,162.760109,0.0,1803,0.905158,803.010521,234,1632,0,-1,0.9850156415865716,2.0,849.6828143021914
0.0,1.157920892373162e+59,0.0,0.0,194,0.195876,0.001,22,38,0,1,-0.3276762034167335,1638.0,330.7670126874279
3.4125,2.2181,76.606083,0.0,2868,0.156555,261.420382,126,449,0,-1,0.5731859233532404,8.0,847.7797001153402
3.4363,2.8521,1.482274,0.0,986,0.049696,5.093544,22,49,0,1,-0.3301212231817237,1643.0,329.18108419838524
1.7261,1.4326,0.000647,0.0,2937,0.460334,0.001117,467,1352,2,1,0.4338348332290473,96.0,506.25
0.0,1.157920892373162e+59,0.0,0.0,1273,0.30165,0.003007,153,384,0,1,0.03415660782483616,504.0,690.4555940023067
1.3339,1.1071,0.020394,0.0,1704,0.173122,0.027203,128,295,0,1,-0.08290898560500927,837.0,584.8327566320646
1.7215,1.4289,0.000961,0.0,1487,1.143914,0.001654,641,1701,2,1,0.18901561062408967,140.0,347.0394736842105
2.1078,1.7284,29.179035,0.0,1559,0.232842,61.502704,66,363,0,1,-0.02396640578548514,698.0,628.921568627451
5.7166,4.9163,1.150991,0.0,1300,0.113077,6.579752,31,147,0,1,-0.2279679587081676,1428.0,397.37600922722027
1.3615,1.1458,158.282754,0.0,1441,0.109646,215.497674,44,158,0,-1,0.2999175075971036,76.0,826.2110726643599
1.6877,1.4008,0.000322,0.0,1160,0.039655,0.000543,28,46,0,1,-0.2886079095219316,1573.0,351.38408304498273
1.7484,1.4679,14.120318,0.0,1362,0.119677,24.687369,31,163,0,1,-0.16864643059084417,1207.0,467.47404844290656
1.7163,1.4245,0.001686,0.0,1599,1.61601,0.002894,716,2584,2,1,0.34558583509397134,118.0,426.64473684210526
1.8305,1.5547,8.173688,0.0,1663,0.75466,14.962066,287,1255,0,1,0.09941514318360857,307.0,752.9411764705883
0.0,1.157920892373162e+59,0.0,0.0,39,0.102564,0.029455,4,4,0,1,-0.3892317576485789,1693.0,313.3217993079585
1.5915,1.3244,0.079383,0.0,1117,0.054611,0.126338,9,61,0,1,-0.30235969974979665,1595.0,344.40599769319493
2.0013,1.6611,0.001126,0.0,1426,0.376578,0.002254,233,537,0,1,-0.09314798330686172,883.0,570.2422145328719
2.0069,1.6658,0.000805,0.0,1776,0.604167,0.001615,482,1073,0,1,0.12419811226002142,265.0,766.2629757785467
0.0,1.157920892373162e+59,0.0,0.0,1628,0.072482,5.055202,43,118,0,1,0.06259127634616696,392.0,725.9803921568628
0.0,1.157920892373162e+59,0.0,0.0,48,0.833333,2.507447,13,40,0,1,-0.2824192310100182,1559.0,355.8246828143022
1.3063,1.0059,0.00677,0.0,1556,0.09126,0.008844,43,142,0,1,-0.1641175956284236,1185.0,474.45213379469436
1.9521,1.6202,0.00016,0.0,1534,0.186441,0.000313,159,286,0,1,-0.12036885295072046,970.0,542.6470588235294
0.0,1.157920892373162e+59,0.0,0.0,970,0.068041,18.767713,20,66,0,1,-0.11945503726221178,963.0,544.8673587081892
0.0,1.157920892373162e+59,0.0,0.0,115,0.078261,0.011081,9,9,0,1,-0.3700765515301768,1685.0,315.85928489042675
0.0,1.157920892373162e+59,0.0,0.0,1177,0.148683,0.003454,111,175,0,1,-0.033877460890506646,717.0,622.8950403690887
2.3249,1.9296,0.001625,0.0,1553,0.688989,0.003778,364,1070,0,1,0.04360839462065531,467.0,702.1914648212226
1.747,1.3452,0.738248,0.0,1525,0.005902,1.289686,5,9,0,1,-0.19798438044360406,1338.0,425.92272202998845
1.929,1.6314,0.003035,0.0,1883,2.712693,0.005854,386,5108,2,-1,0.608103320956273,48.0,679.9342105263158
2.071,1.719,0.000641,0.0,2364,0.030034,0.001327,38,71,0,1,0.04525838657945368,455.0,705.997693194925
2.071,1.719,0.000365,0.0,1058,0.122873,0.000756,71,130,0,1,-0.2902565413211683,1578.0,349.79815455594
0.0,1.157920892373162e+59,0.0,0.0,304,0.069079,0.005583,8,21,0,1,-0.3189845099843281,1626.0,334.5732410611303
2.1062,1.7481,0.000539,0.0,1802,0.290233,0.001135,189,523,0,1,-0.013401242447953573,674.0,636.5340253748559
2.855,2.4581,2.127526,0.0,1473,0.049559,6.074045,21,73,0,1,-0.1931407533775142,1316.0,432.90080738177625
1.5543,1.1968,0.005263,0.0,783,0.02682,0.008181,11,21,0,1,-0.39969165855184347,1695.0,312.68742791234143
0.0,1.157920892373162e+59,0.0,0.0,1173,0.038363,3.512757,12,45,0,1,-0.07969996029106693,823.0,589.273356401384
3.0857,2.0033,37.574878,0.0,1665,0.219219,115.946567,56,365,0,-1,0.052420227132660216,430.0,713.9273356401384
