address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,kmeans_cluster,anomaly
0xc135725230a91b002025aeeb97dc8c29dd026cad,3.1117,2.5827,9.92008,0.0,2811,0.134827,30.868379,11,379,0,-1
0xa323a54987ce8f51a648af2826beb49c368b8bc6,1.3226,1.0977,0.000319,0.0,1626,0.271833,0.000422,15,442,0,1
0x8666e8b85aada05af6350b57595f1cde004b2793,2.2046,1.4327,0.0052,0.0,1552,0.122423,0.011464,8,190,0,1
0x2e5ca30ee0ae2dbd7d61aa29ad141f6e6bdf5378,1.3118,1.0888,0.000958,0.0,1075,0.054884,0.001257,2,59,0,1
0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,0.0,1.157920892373162e+59,0.0,0.0,1395,0.957706,0.52408,15,1336,0,1
0x8991fb72af79bc853ab58dab690579deae5fd22d,1.6393,1.4098,0.023214,0.0,1787,0.184667,0.038057,11,330,0,1
0x9a97dbc9baa91707b5bde45c810536c17b8ceb15,1.3223,1.0975,0.00032,0.0,1802,1.287458,0.000423,39,2320,0,1
0xed74c5126b667e8828e252ffaebc32206f5d21f2,1.1718,1.0253,0.00311,0.0,293,0.109215,0.003644,1,32,0,1
0x249a8621eacf869efa6a5fe1c4c697dfa818e237,1.3407,1.1128,0.001609,0.0,1617,0.283859,0.002157,13,459,0,1
0x06a84a5364af1f043b77e10bce2568e94af76d5a,0.0,1.157920892373162e+59,0.0,0.0,1624,0.663177,0.002081,19,1077,0,1
0xd6901c3ffb6bd0cac3169892d51d7e0001cd13b8,1.3548,1.1245,0.002319,0.0,1368,0.188596,0.003142,15,258,0,1
0x65ef8fd6168a4bc2cfebf83b0c83a8a9b7aad1f9,1.3557,1.1253,0.001926,0.0,2939,0.400817,0.002611,22,1178,0,1
0x9e9e7f7c3a3849afbf4d6302e7698bb139dc1371,1.3482,1.119,0.000321,0.0,1365,0.066667,0.000433,4,91,0,1
0x2b60f64201d99282a19beb47c455627960395598,1.3482,1.119,0.000645,0.0,1428,0.095238,0.000869,6,136,0,1
0xd117691943ff00ecdcc8b446e6653444b4b6672b,1.3482,1.119,0.000224,0.0,1358,0.047128,0.000302,4,64,0,1
0x6d2742b2ccb325aa854cb2648a0841655a7c9c22,1.3482,1.119,0.000249,0.0,1358,0.049337,0.000336,4,67,0,1
0x026b6e0ffdf858c0fb1b4acb73591873ac9da472,1.3482,1.119,0.000192,0.0,1317,0.038724,0.000259,3,51,0,1
0x2ef15a729d9a64ca966aee408675c11ff0e2d757,1.3482,1.119,0.000224,0.0,1317,0.041002,0.000302,4,54,0,1
0x3d1c2f7e32a16e638daa809cbfa697d4fd76f2c2,1.3479,1.1188,0.000224,0.0,1317,0.040243,0.000302,3,53,0,1
0x6c19f5d1e8cae3dc31e5b6838aae33fb9d2a242e,1.3479,1.1188,0.000169,0.0,2424,0.324257,0.000228,83,786,0,1
0x0b148b0d0838a9abd30f9cb51ae2dd6a7c3cdfd0,1.3479,1.1188,0.00024,0.0,1317,0.05467,0.000324,5,72,0,1
0x3fcba75f5d6022edb35c432adf8206cb54363a7d,1.3479,1.1188,0.000645,0.0,1428,0.112045,0.000869,5,160,0,1
0x0aae0df463c77daae3cee78a38e16a06b552c445,1.3479,1.1188,0.000256,0.0,1358,0.057437,0.000346,3,78,0,1
0x23161001833101caf8a2d23f3a817b6f44f55ff6,1.3532,1.1232,0.000224,0.0,1317,0.042521,0.000303,2,56,0,1
0x59b68efe9c791b93d6adfdf126edefa583558b67,1.2067,1.0016,0.001276,0.0,1173,0.265985,0.001539,8,312,0,1
0x14c36beccde6466eb31461ea52190457ad952d24,1.3315,1.1051,0.002614,0.0,1174,0.046848,0.00348,2,55,0,1
0xfeb6a775cf2403f22cc6c451564c66cb0d88c51b,1.1954,0.9921,0.000631,0.0,1291,0.106119,0.000755,3,137,0,1
0x9d9c3513189342c8e24a987fd25df3bda68b2af4,1.2583,1.101,6.359711,0.0,1577,0.082435,8.002108,3,130,0,1
0xbefc8a3543023a6f8409ad8f660dee0d8770794c,4.1282,3.5697,0.827868,0.0,1492,0.229893,3.417633,3,343,0,1
0xb9af6e5dbc239516e086f50cdf6006ad6b15ce3b,1.2031,1.0476,11.718888,0.0,1711,0.430158,14.09922,4,736,0,1
0xa2944098ee88b83b10f13194afcbf1d72916c58b,3.0517,2.5329,0.835606,0.0,1588,0.245592,2.549976,10,390,0,1
0x57091b71796f570b161da44d29e86b50d081e9f8,0.0,1.157920892373162e+59,0.0,0.0,1,9.0,0.015177,2,9,0,-1
0x19a1989b0b0d3f019e09d4ba3d0900cd29d35dfb,2.7551,2.2636,165.950627,0.0,2079,0.224627,457.21618,5,467,2,-1
0xa950aad36c41cb9c7b2836632163045a04350593,0.0,1.157920892373162e+59,0.0,0.0,1573,0.058487,25.148366,5,92,0,1
0x015f975c22438c48eb23f879ed3b293ed7fbd2d2,1.0247,0.8961,0.00162,0.0,958,0.361169,0.00166,3,346,0,1
0x04c8d5007879c7f0968f58601700c9a575c8512a,1.2755,1.0587,0.000225,0.0,1306,0.249617,0.000287,12,326,0,1
0x434a88af3a9c42a5bccea731b324c5cb591c2d17,1.2755,1.0587,0.000962,0.0,1776,0.112613,0.001227,9,200,0,1
0xad4490fbdb43c8e18731dacf498001152af4cdc4,18.7447,16.1205,0.001841,0.0,1413,0.172682,0.034516,4,244,0,1
0x3bb638c1fdf2eacc053bca17149ad64c11ca09cd,1.271,1.055,0.000638,0.0,1832,0.538755,0.00081,20,987,0,1
0xe4055766c1c2db0685df29808012e9caa1428826,1.4322,1.1887,0.001596,0.0,1176,0.187925,0.002286,13,221,0,1
0x2885776d3eadcec3f51a3480139512f308b70206,2.8785,2.3891,0.444085,0.0,288,0.152778,1.278284,2,44,0,1
0x18351027c3cc214dc8fc49ae581b9f0151bffe0c,0.0,1.157920892373162e+59,0.0,0.0,249,0.080321,0.100015,1,20,0,1
0x110cf43a8719a1b074903269f082a7c216b1a466,0.0,1.157920892373162e+59,0.0,0.0,1645,0.168389,0.002868,9,277,0,1
0xb117cd2c71b2de74cef5b9f9b8d466f904f5d0ad,0.0,1.157920892373162e+59,0.0,0.0,2,1.0,0.022905,0,2,0,1
0x9cd6658537ddbb63f075ec3e92e53ef3e723b195,2.6893,1.748,3.698796,0.0,2771,0.112956,9.947122,7,313,0,1
0x049acbb1951af2fa71705b250a589db20b9099aa,0.0,1.157920892373162e+59,0.0,0.0,5,4.0,2.620181,1,20,0,1
0xaa9d5bf2a19d3ff763459389308bbadce1284db2,1.3365,1.1093,0.000319,0.0,1187,0.05139,0.000427,1,61,0,1
0xc7ff3334b6d305fc4d9bb0254b63395614fd640c,1.3365,1.1093,0.000319,0.0,1187,0.048863,0.000427,1,58,0,1
0xfaa9a46c3f1dd5d888e0c52b5519a6d47d2e6524,1.3366,1.1094,0.000638,0.0,1187,0.049705,0.000853,1,59,0,1
0xaa70b1e1d64aa177d2e61724dad7f16f2c2b9874,1.3366,1.1094,0.000638,0.0,1187,0.069924,0.000853,2,83,0,1
0xa5d4a067fa86032a097c71853a126b969d2e51a7,1.3366,1.1094,0.000319,0.0,1187,0.072452,0.000427,2,86,0,1
0xb374bdc6718b8f5ea3cb29b14f57140d06f04aff,1.3366,1.1094,0.000351,0.0,1187,0.077506,0.000469,3,92,0,1
0x28df0301ba33a4eb79b802c79b81dff519964bb5,1.3366,1.1094,0.000639,0.0,1187,0.081719,0.000853,3,97,0,1
0x8c66224142e7cc77e1bbf8ad0b917e4501127edd,1.3777,1.1435,0.000958,0.0,1187,0.073294,0.001319,2,87,0,1
